month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
08-08,0.46,0.08,1.77,5.3,20.23,0.1,0.13,113.35,0.98,3.73,3.86
08-09,1.33,0.64,0.01,0.42,14.31,0.22,0.05,4.23,0.52,11.13,1.84
08-10,41.23,3.36,0.1,2.36,0.11,0.09,0.39,0.06,0.39,0.41,1.76
08-11,0.15,1.16,0.09,4.97,1.35,0.47,0.2,0.11,2.81,0.73,3.24
08-12,10.15,0.42,0,2.41,4.51,1.18,1.92,7,2.98,2.09,1.11
08-13,3.07,2,0,0.41,7.73,3.1,3.23,20.74,47.44,16.04,0.66
08-14,3.5,7.57,0.02,5.13,0.64,9.03,0.5,27.43,9.44,10.67,1.12
08-15,0.18,3.32,0.19,24.4,0.81,6.95,0.54,76.98,1.1,11.99,2.27
08-16,2.2,7.82,55.78,7.89,0.59,3.34,0.27,7.48,0.99,2.68,75.17
08-17,0.11,27.84,25.75,4.08,3.73,0.07,1.35,7.79,2.93,1.84,6.8
08-18,0.05,2.27,14.69,1.8,0,0.46,1.05,3.95,8.15,0.16,3.37
08-19,0.02,0.48,6.84,14.36,0.01,2.93,0.03,1.59,0.01,0.37,6.14
08-20,0.11,4.15,16.85,3.19,7.31,7.67,0,0.62,1.5,0.02,6.98
08-21,0.01,1.46,4.25,0.88,1.41,5.96,0.12,1.49,2.97,0.46,3.5
08-22,0.4,0.05,76.51,1.64,0.06,6.89,4.53,3.35,0.82,7.91,10.51
08-23,4,0.38,16.72,0.61,2.74,7.64,12.9,11.91,0.47,5.15,0.88
08-24,0.14,0.36,3.54,0.04,6.57,0.59,0.48,0.71,3.83,1.2,0.57
08-25,0.23,1.51,0.6,0.03,0.82,2.9,0.03,0.69,4.33,0.35,2.53
08-26,5.59,22.26,0.09,0.59,0.49,3.33,0.45,0.12,2.22,2.78,4.31
08-27,2.47,2.08,6.51,0.37,2.92,2.82,2.16,0.31,3.34,3.72,13.47
08-28,8.4,9.72,6.77,0.12,4.17,11.31,1.34,0.03,15.73,1.02,5.16
08-29,3.82,13.26,7.99,1.06,3.2,0.63,0.06,0.12,2.04,0.02,40.54
08-30,20.32,4.46,20.01,1.02,0.99,8.83,0.06,1.78,6.29,0.15,107.3
08-31,0.43,3.85,0.02,16.96,3.54,1.36,1.21,3.05,2.62,0,34.13
09-01,26.84,5.17,0.01,6.9,2.22,0.08,1.74,9.58,9.22,0.05,24.41
09-02,7.06,5.94,0.05,5.49,9.21,0.49,7.53,34.92,17.6,0.21,11.55
09-03,0.01,2.12,2.23,0.48,6.86,4.4,6.43,12.35,0.61,5.22,75.25
09-04,0,8.26,3.83,8.94,9.85,1.97,3.83,7.03,0.43,27.09,13.05
09-05,0.24,0.66,1.8,1.04,11.77,0.05,16.07,12.31,0.3,0.91,0.32
09-06,1.94,12.17,0.98,10.71,0.05,0.01,19.67,5.89,0.21,8.95,0.02
09-07,15.47,42.64,8.11,1.73,0.93,0.31,10.83,0.32,5.46,30.88,0.01
09-08,6.09,46.24,17.66,0.86,3.45,13.89,3.39,1.05,5.5,106.3,0.84
09-09,2.05,67.3,1.07,0.01,1.69,92.68,2.94,27.01,1.94,13.95,2.32
09-10,18.62,76.12,0.13,0.1,28.93,1.55,2.58,0.24,0.42,1.75,1.24
09-11,19.75,3.94,20.81,0.55,10.43,8.47,3,0.43,1.19,1.5,0.45
09-12,1.51,0.07,2.7,6.6,0.87,0.96,21.41,2.69,2.94,0.18,0.8
09-13,0.86,0.08,36.75,0.02,0.16,0,1.71,0.14,5.96,1.06,0.38
09-14,0.14,0.53,6.01,0.2,6.94,0.5,2.29,11.13,0.25,0.27,1.5
09-15,0.06,0.02,7.85,0.21,16.64,4.94,0.85,8.78,0.42,3.22,1.7
