month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
12-16,0,1.6,3.13,0,0,3.683,1.277,0,0,2.723,1.697
12-17,0,0,0,2.347,0,0,0,1.35,0,0,0
12-18,2.637,0,0,0,1.923,0,0,0,1.503,0,0
12-19,0,1.497,3.983,0,0,4.177,1.783,0,0,3.633,2.693
12-20,0,0,0,2.713,0,0,0,2.02,0,0,0
12-21,1.483,0,0,0,1.473,0,0,0,2.023,0,0
12-22,0,2.057,1.933,0,0,3.833,2.13,0,0,2.21,4.493
12-23,0,0,0,2.047,0,0,0,2.72,0,0,0
12-24,2.303,0,0,0,1.697,0,0,0,2.213,0,0
12-25,0,1.003,1.6,0,0,1.737,3.667,0,0,1.367,2.197
12-26,0,0,0,3.89,0,0,0,2.99,0,0,0
12-27,3.283,0,0,0,1.357,0,0,0,1.627,0,0
12-28,0,1.697,1.697,0,0,2.657,3.95,0,0,1.127,1.11
12-29,0,0,0,2.677,0,0,0,1.903,0,0,0
12-30,4.077,0,0,0,1.94,0,0,0,1.447,0,0
12-31,0,2.087,1.68,0,0,1.537,3.26,0,0,1.587,0
