month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
08-08,0.000,0.003,0.000,0.070,0.827,0.347,0.000,0.000,0.000,0.000,0.000
08-09,0.000,1.067,0.010,0.160,0.103,0.013,0.000,0.000,0.000,0.000,0.040
08-10,0.000,1.080,0.300,0.177,0.377,0.000,0.000,0.000,0.000,0.000,0.000
08-11,0.000,1.077,0.320,0.117,1.763,0.370,0.003,0.000,0.000,0.000,0.000
08-12,0.000,0.017,0.320,0.043,1.910,0.663,0.433,0.000,0.000,0.410,0.030
08-13,0.150,0.940,0.030,0.037,2.003,0.663,0.567,0.000,0.000,0.417,0.060
08-14,0.567,0.957,0.010,0.027,1.150,0.293,0.623,0.000,0.383,0.417,2.670
08-15,0.790,1.213,0.000,0.037,0.947,0.000,0.723,0.003,0.447,0.007,0.560
08-16,0.973,0.307,0.000,0.233,1.390,0.000,0.590,0.167,0.447,0.007,4.800
08-17,0.557,0.990,0.000,0.270,2.373,0.000,0.530,0.197,0.070,0.010,0.580
08-18,0.393,6.287,0.000,0.243,2.490,0.003,0.000,1.453,0.010,0.010,0.050
08-19,0.197,6.483,0.000,0.037,2.527,0.027,0.000,1.640,0.010,0.003,0.010
08-20,0.327,5.953,0.000,0.000,1.357,0.357,0.000,1.617,0.003,0.007,0.000
08-21,0.270,6.017,0.000,0.000,1.453,2.030,0.000,0.357,0.000,0.520,0.000
08-22,0.140,5.913,0.000,0.000,0.640,3.257,0.000,0.027,0.000,0.527,0.000
08-23,0.117,18.913,0.000,0.000,0.323,3.533,0.400,0.127,0.007,0.520,0.000
08-24,0.113,14.983,0.000,0.000,0.077,2.577,0.400,0.493,0.007,0.007,0.270
08-25,0.107,15.473,0.000,1.083,0.040,1.360,0.400,1.153,0.127,0.000,8.950
08-26,0.000,2.970,0.000,1.123,0.010,1.007,0.000,1.057,1.057,0.130,0.060
08-27,0.000,1.580,0.000,1.123,0.000,2.927,0.027,0.723,1.130,0.140,1.500
08-28,0.000,1.720,0.000,0.040,0.000,3.083,0.027,0.670,1.023,0.147,1.620
08-29,0.040,1.500,0.020,0.000,0.277,7.313,0.157,0.753,1.100,0.020,0.210
08-30,0.247,1.260,0.040,0.027,0.380,17.967,1.073,1.567,2.510,0.293,7.210
08-31,0.250,0.517,2.203,0.027,0.383,19.097,1.143,0.983,2.570,0.287,1.560
09-01,0.213,2.900,2.253,0.073,0.107,15.100,2.553,0.917,1.663,0.650,1.150
09-02,0.007,5.203,2.233,0.090,0.003,2.043,4.883,0.097,0.517,0.367,5.310
09-03,0.003,5.227,0.070,0.090,0.000,0.803,6.270,0.167,0.447,0.367,1.460
